column_name,data_type,character_maximum_length,numeric_precision,numeric_scale
004dd5c2-c130-4038-9dc4-a513e68e6433,character varying,,,
03e82620-8426-4b4a-bb2b-790688b73c5c,character varying,,,
0d0f5ebf-99d4-4349-af9b-5faf761c579b,double precision,,53,
153aa877-7261-4e9f-9442-45cb05aff27b,character varying,,,
1a61e150-bdb9-4211-9a07-7852361fc08d,character varying,,,
1a780135-df10-4608-97f6-ffa3ebd936bd,character varying,,,
1d26aaf9-398c-4c39-93e3-83f0de9e1230,character varying,,,
1e1dd370-d2b2-400b-98ba-2d7961c2c938,character varying,,,
22add297-5d71-4e73-818b-543057411b8e,double precision,,53,
26b82ebc-c271-4560-0c83-3cc4209f0751,character varying,,,
2d66c5aa-b474-4652-b174-9ffab96e37b5,character varying,,,
32fa0529-abc0-49fe-a112-4bad9ebcf483,character varying,,,
46d7cd72-258d-47c2-accd-050e579d3bbf,character varying,,,
4cca37b3-8a6e-4b16-8b4c-7b223e95978e,character varying,,,
4eb8db0d-71df-4d0c-bb21-3ba3568fb378,character varying,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
53,,,,
53,,,,
